ID,ITEMCODE,ITEM,IN_BLOCKS_OF,METRICS,PRICE_PER_UNIT,CURRENCY,FEES,VOLUME_FROM,VOLUME_TO
40,8014823,SAP Signavio Process Intelligence,200000,Record,493.00,USD,Month,250,499
41,8014823,SAP Signavio Process Intelligence,200000,Record,389.00,USD,Month,500,999
42,8014823,SAP Signavio Process Intelligence,200000,Record,335.00,USD,Month,1000,1499
43,8014823,SAP Signavio Process Intelligence,200000,Record,308.00,USD,Month,1500,Infinite
44,8015166,"SAP Signavio Journey-to-Process Analytics, base package",50000,Record,5602.00,USD,Month,1,Infinite
45,8015208,"SAP Signavio Journey-to-Process Analytics, additional records",50000,Record,2784.00,USD,Month,1,4
46,8015208,"SAP Signavio Journey-to-Process Analytics, additional records",50000,Record,2042.00,USD,Month,5,9
47,8015208,"SAP Signavio Journey-to-Process Analytics, additional records",50000,Record,1618.00,USD,Month,10,19
48,8015208,"SAP Signavio Journey-to-Process Analytics, additional records",50000,Record,1294.00,USD,Month,20,49
49,8015208,"SAP Signavio Journey-to-Process Analytics, additional records",50000,Record,1053.00,USD,Month,50,Infinite
50,8015441,"SAP Signavio Process Insights, base package",1,Flat Fee,8653.00,USD,Month,1,Infinite
51,8015451,"SAP Signavio Process Insights, additional connections",1,Connection,4377.00,USD,Month,1,Infinite
52,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,2304.00,USD,Month,1,2
53,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,1275.00,USD,Month,3,5
54,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,935.00,USD,Month,6,9
55,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,748.00,USD,Month,10,13
56,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,641.00,USD,Month,14,28
57,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,514.00,USD,Month,29,44
58,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,445.00,USD,Month,45,60
59,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,402.00,USD,Month,61,80
60,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,366.00,USD,Month,81,110
61,8018114,SAP LeanIX Technology Risk and Compliance,100,Application,330.00,USD,Month,111,Infinite
62,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,1383.00,USD,Month,1,2
63,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,765.00,USD,Month,3,5
64,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,561.00,USD,Month,6,9
65,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,449.00,USD,Month,10,13
66,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,385.00,USD,Month,14,28
67,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,308.00,USD,Month,29,44
68,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,267.00,USD,Month,45,60
69,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,242.00,USD,Month,61,80
70,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,220.00,USD,Month,81,110
71,8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,198.00,USD,Month,111,Infinite
72,8018161,SAP LeanIX Application Portfolio Management,100,Application,4608.00,USD,Month,1,2
73,8018161,SAP LeanIX Application Portfolio Management,100,Application,2549.00,USD,Month,3,5
74,8018161,SAP LeanIX Application Portfolio Management,100,Application,1869.00,USD,Month,6,9
75,8018161,SAP LeanIX Application Portfolio Management,100,Application,1498.00,USD,Month,10,13
76,8018161,SAP LeanIX Application Portfolio Management,100,Application,1282.00,USD,Month,14,28
77,8018161,SAP LeanIX Application Portfolio Management,100,Application,1029.00,USD,Month,29,44
78,8018161,SAP LeanIX Application Portfolio Management,100,Application,889.00,USD,Month,45,60
79,8018161,SAP LeanIX Application Portfolio Management,100,Application,805.00,USD,Month,61,80
80,8018161,SAP LeanIX Application Portfolio Management,100,Application,731.00,USD,Month,81,110
81,8018161,SAP LeanIX Application Portfolio Management,100,Application,660.00,USD,Month,111,Infinite
82,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,1236.00,USD,Month,1,2
83,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,684.00,USD,Month,3,5
84,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,401.00,USD,Month,6,9
85,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,282.00,USD,Month,10,13
86,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,206.00,USD,Month,14,28
87,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,137.00,USD,Month,29,44
88,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,120.00,USD,Month,45,60
89,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,108.00,USD,Month,61,80
90,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,98.00,USD,Month,81,110
91,8018191,"SAP LeanIX solutions, sandbox environment",100,Application,89.00,USD,Month,111,Infinite
92,8018281,SAP Signavio Process Transformation Manager,1,User,243.00,USD,Month,1,19
93,8018281,SAP Signavio Process Transformation Manager,1,User,195.00,USD,Month,20,49
94,8018281,SAP Signavio Process Transformation Manager,1,User,171.00,USD,Month,50,99
95,8018281,SAP Signavio Process Transformation Manager,1,User,146.00,USD,Month,100,Infinite
96,**,Cloud - ERP,0,,0.00,,,,
97,8008794,"SAP Additional File Storage, private cloud edition",128,Gigabyte,188.00,USD,Month,1,Infinite
98,8008860,"SAP Fiori Hub on ASE Cloud, private edition (XXS)",1,Tenant,13644.00,USD,Month,1,Infinite
99,8008861,"SAP Fiori Hub on ASE Cloud, private edition (XS)",1,Tenant,19424.00,USD,Month,1,Infinite
100,8008862,"SAP Fiori Hub on ASE Cloud, private edition (S)",1,Tenant,18398.00,USD,Month,1,Infinite
101,8008863,"SAP Fiori Hub on ASE Cloud, private edition (M)",1,Tenant,20005.00,USD,Month,1,Infinite
102,8008864,"SAP Fiori Hub on ASE Cloud, private edition (L)",1,Tenant,23993.00,USD,Month,1,Infinite
103,8009314,"SAP IaaS server Windows Cloud, private edition (32GB)",1,Tenant,1459.00,USD,Month,1,Infinite
104,8009318,"SAP IaaS server Linux Cloud, private edition (64GB)",1,Tenant,2042.00,USD,Month,1,Infinite
105,8009319,"SAP IaaS server Linux Cloud, private edition (128GB)",1,Tenant,3203.00,USD,Month,1,Infinite
106,8009320,"SAP IaaS server Windows Cloud, private edition (64GB)",1,Tenant,1879.00,USD,Month,1,Infinite
107,8009321,"SAP IaaS server Windows Cloud, private edition (128GB)",1,Tenant,2947.00,USD,Month,1,Infinite
108,8009322,"SAP IaaS server Linux Cloud, private edition (32GB)",1,Tenant,1459.00,USD,Month,1,Infinite
109,8009323,"SAP content server Cloud, private edition (S)",1,Tenant,16438.00,USD,Month,1,Infinite
110,8009324,"SAP content server Cloud, private edition (M)",1,Tenant,26689.00,USD,Month,1,Infinite
111,8009325,"SAP content server Cloud, private edition (L)",1,Tenant,37685.00,USD,Month,1,Infinite
112,8011322,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (S)",1,Tenant,72291.00,USD,Month,1,Infinite
113,8011323,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (M)",1,Tenant,92216.00,USD,Month,1,Infinite
114,8011324,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (L)",1,Tenant,128578.00,USD,Month,1,Infinite
115,8011325,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (XL)",1,Tenant,193225.00,USD,Month,1,Infinite
116,8011326,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (XXL)",1,Tenant,252809.00,USD,Month,1,Infinite
117,8011327,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (4XL)",1,Tenant,537929.00,USD,Month,1,Infinite
118,8011726,"SAP Cloud, memory extension for productive tiers, private edition",256,Gigabyte,4560.00,USD,Month,1,Infinite
119,8011727,"SAP Cloud, memory extension for non-productive tiers, private edition",256,Gigabyte,2385.00,USD,Month,1,Infinite
120,8012156,"SAP content server Cloud, private edition (XL)",1,Tenant,61939.00,USD,Month,1,Infinite
121,8012625,"SAP Fiori Hub for HANA, private cloud edition (XXS)",1,Tenant,17333.00,USD,Month,1,Infinite
122,8012626,"SAP Fiori Hub for HANA, private cloud edition (XS)",1,Tenant,26111.00,USD,Month,1,Infinite
123,8012627,"SAP Fiori Hub for HANA, private cloud edition (S)",1,Tenant,24548.00,USD,Month,1,Infinite
124,8012628,"SAP Fiori Hub for HANA, private cloud edition (M)",1,Tenant,26155.00,USD,Month,1,Infinite
125,8012629,"SAP Fiori Hub for HANA, private cloud edition (L)",1,Tenant,30143.00,USD,Month,1,Infinite
126,8012630,"SAP Fiori Hub for HANA, private cloud edition (XL)",1,Tenant,37247.00,USD,Month,1,Infinite
127,8014268,"SAP Connection Package for productive tiers, private cloud edition",1,Tenant,4011.00,USD,Month,1,Infinite
128,8014275,"SAP Connection Package for non-productive tiers, private cloud edition",1,Tenant,1608.00,USD,Month,1,Infinite
129,8014539,"SAP Fiori Hub on ASE Cloud, additional non-productive tier, private edition (S)",1,Tenant,5092.00,USD,Month,1,Infinite
130,8014540,"SAP Fiori Hub on ASE Cloud, additional non-productive tier, private edition (L)",1,Tenant,8625.00,USD,Month,1,Infinite
131,8014554,"SAP Fiori Hub on ASE Cloud, additional non-productive tier, private edition (M)",1,Tenant,5964.00,USD,Month,1,Infinite
132,8014571,"SAP Fiori Hub on ASE Cloud, additional productive tier, private edition (L)",1,Tenant,14209.00,USD,Month,1,Infinite
133,8015458,"PLM system integration for SAP ERP, private cloud edition",1,Active User,27.00,USD,Month,1,250
134,8015458,"PLM system integration for SAP ERP, private cloud edition",1,Active User,22.00,USD,Month,251,1000
135,8015458,"PLM system integration for SAP ERP, private cloud edition",1,Active User,17.00,USD,Month,1001,2500
136,8015458,"PLM system integration for SAP ERP, private cloud edition",1,Active User,12.00,USD,Month,2501,5000
137,8015458,"PLM system integration for SAP ERP, private cloud edition",1,Active User,8.04,USD,Month,5001,Infinite
138,8016037,"SAP Fiori Hub for HANA cloud, additional non-productive tier, private edition (XS)",1,Tenant,10671.00,USD,Month,1,Infinite
139,8016038,"SAP Fiori Hub for HANA cloud, additional non-productive tier, private edition (L)",1,Tenant,13503.00,USD,Month,1,Infinite
140,8016078,"SAP Fiori Hub for HANA cloud, additional productive tier, private edition (S)",1,Tenant,13497.00,USD,Month,1,Infinite
141,8016120,"SAP Fiori Hub for HANA cloud, additional non-productive tier, private edition (XL)",1,Tenant,15669.00,USD,Month,1,Infinite
142,8016130,"SAP Fiori Hub for HANA cloud, additional productive tier, private edition (M)",1,Tenant,14735.00,USD,Month,1,Infinite
143,8016138,"SAP Fiori Hub for HANA cloud, additional non-productive tier, private edition (S)",1,Tenant,10942.00,USD,Month,1,Infinite
144,8016146,"SAP Fiori Hub for HANA cloud, additional productive tier, private edition (XS)",1,Tenant,13227.00,USD,Month,1,Infinite
145,8016147,"SAP Fiori Hub for HANA cloud, additional non-productive tier, private edition (M)",1,Tenant,11507.00,USD,Month,1,Infinite
146,8016183,"SAP Fiori Hub for HANA cloud, additional productive tier, private edition (XL)",1,Tenant,19569.00,USD,Month,1,Infinite
147,8016184,"SAP Fiori Hub for HANA cloud, additional productive tier, private edition (L)",1,Tenant,17402.00,USD,Month,1,Infinite
148,8017352,"SAP Log Service, private cloud edition",1,Tenant,4102.00,USD,Month,1,Infinite
149,8017582,enhanced operations service for large enterprises for RISE with SAP S/4HANA Cloud Private Edition,1,% of Net Recurring Fee,11.00,%,Month,1,Infinite
150,8018022,"SAP S/4HANA Cloud Private Edition Application Server for Linux, additional production tenant",1,Tenant,4712.00,USD,Month,1,Infinite
151,8018041,"SAP S/4HANA Cloud Private Edition Application Server for Linux, additional nonproduction tenant",1,Tenant,3880.00,USD,Month,1,Infinite
152,8018042,"SAP S/4HANA Cloud Private Edition Application Server for Linux, additional production tenant, upgrade",64,Gigabyte,1347.00,USD,Month,1,Infinite
153,8018051,"SAP S/4HANA Cloud Private Edition Application Server for Linux, additional nonproduction tenant, upgrade",64,Gigabyte,1347.00,USD,Month,1,Infinite
154,8018398,"SAP ERP for defense forces and public security, private cloud edition",1,User,82.00,USD,Month,1,1000
155,8018398,"SAP ERP for defense forces and public security, private cloud edition",1,User,79.00,USD,Month,1001,10000
156,8018398,"SAP ERP for defense forces and public security, private cloud edition",1,User,78.00,USD,Month,10001,100000
157,8018398,"SAP ERP for defense forces and public security, private cloud edition",1,User,72.00,USD,Month,100001,Infinite
158,**,Cloud - Line of Business Portfolio,0,,0.00,,,,
159,***,Cloud - Customer Experience,0,,0.00,,,,
160,8003186,"SAP Sales and Service Core, limited access edition",1,User,42.00,USD,Month,1,Infinite
161,8007911,"SAP Knowledge Central by NICE, professional edition",1,User,83.00,USD,Month,1,500
162,8007911,"SAP Knowledge Central by NICE, professional edition",1,User,67.00,USD,Month,501,1000
163,8007911,"SAP Knowledge Central by NICE, professional edition",1,User,59.00,USD,Month,1001,5000
164,8007911,"SAP Knowledge Central by NICE, professional edition",1,User,52.00,USD,Month,5001,Infinite
165,8007912,"SAP Knowledge Central by NICE, instance",1,Connection,4435.00,USD,Month,1,5
166,8007912,"SAP Knowledge Central by NICE, instance",1,Connection,2883.00,USD,Month,6,15
167,8007912,"SAP Knowledge Central by NICE, instance",1,Connection,1996.00,USD,Month,16,30
168,8007912,"SAP Knowledge Central by NICE, instance",1,Connection,1497.00,USD,Month,31,50
169,8007912,"SAP Knowledge Central by NICE, instance",1,Connection,1164.00,USD,Month,51,Infinite
170,8008051,"SAP Commerce Cloud, financial services accelerator, access",50000,Order,9495.00,USD,Month,1,Infinite
171,8008052,"SAP Commerce Cloud, financial services accelerator",50000,Order,1520.00,USD,Month,1,9
172,8008052,"SAP Commerce Cloud, financial services accelerator",50000,Order,998.00,USD,Month,10,19
173,8008052,"SAP Commerce Cloud, financial services accelerator",50000,Order,887.00,USD,Month,20,39
174,8008052,"SAP Commerce Cloud, financial services accelerator",50000,Order,855.00,USD,Month,40,99
175,8008052,"SAP Commerce Cloud, financial services accelerator",50000,Order,722.00,USD,Month,100,Infinite
176,8008053,"SAP Commerce Cloud, citizen engagement accelerator, access",50000,Order,8862.00,USD,Month,1,Infinite
177,8008054,"SAP Commerce Cloud, citizen engagement accelerator",50000,Order,1118.00,USD,Month,1,9
178,8008054,"SAP Commerce Cloud, citizen engagement accelerator",50000,Order,652.00,USD,Month,10,19
179,8008054,"SAP Commerce Cloud, citizen engagement accelerator",50000,Order,558.00,USD,Month,20,39
180,8008054,"SAP Commerce Cloud, citizen engagement accelerator",50000,Order,418.00,USD,Month,40,99
181,8008054,"SAP Commerce Cloud, citizen engagement accelerator",50000,Order,374.00,USD,Month,100,Infinite
182,8008055,"SAP Commerce Cloud, Travel accelerator, access",50000,Order,10092.00,USD,Month,1,Infinite
183,8008056,"SAP Commerce Cloud, travel accelerator",50000,Order,1491.00,USD,Month,1,9
184,8008056,"SAP Commerce Cloud, travel accelerator",50000,Order,979.00,USD,Month,10,19
185,8008056,"SAP Commerce Cloud, travel accelerator",50000,Order,870.00,USD,Month,20,39
186,8008056,"SAP Commerce Cloud, travel accelerator",50000,Order,631.00,USD,Month,40,99
187,8008056,"SAP Commerce Cloud, travel accelerator",50000,Order,544.00,USD,Month,100,Infinite
188,8008057,"SAP Commerce Cloud, telco and utilities accelerator, orders, access",50000,Order,9964.00,USD,Month,1,Infinite
189,8008058,"SAP Commerce Cloud, telco and utilities accelerator, orders",50000,Order,1491.00,USD,Month,1,9
190,8008058,"SAP Commerce Cloud, telco and utilities accelerator, orders",50000,Order,979.00,USD,Month,10,19
191,8008058,"SAP Commerce Cloud, telco and utilities accelerator, orders",50000,Order,870.00,USD,Month,20,39
192,8008058,"SAP Commerce Cloud, telco and utilities accelerator, orders",50000,Order,631.00,USD,Month,40,99
193,8008058,"SAP Commerce Cloud, telco and utilities accelerator, orders",50000,Order,544.00,USD,Month,100,Infinite
194,8008059,"SAP Commerce Cloud, telco and utilities accelerator, GMV, access",13304400,Gross Merchandise Value,116771.00,USD,Year,1,Infinite
195,8008060,"SAP Commerce Cloud, telco and utilities accelerator, GMV",1,Gross Merchandise Value,1.17,%,Year,1.11,31043600
196,8008060,"SAP Commerce Cloud, telco and utilities accelerator, GMV",1,Gross Merchandise Value,0.99,%,Year,31043601,75391600
197,8008060,"SAP Commerce Cloud, telco and utilities accelerator, GMV",1,Gross Merchandise Value,0.86,%,Year,75391601,153000600
198,8008060,"SAP Commerce Cloud, telco and utilities accelerator, GMV",1,Gross Merchandise Value,0.66,%,Year,153000601,319305600
199,8008060,"SAP Commerce Cloud, telco and utilities accelerator, GMV",1,Gross Merchandise Value,0.57,%,Year,319305601,Infinite
200,8008139,"SAP Sales and Service Core, test tenant",1,Tenant,1959.00,USD,Month,1,Infinite
201,8008144,"SAP Commerce Cloud, additional storage",500,Gigabyte,104.00,USD,Month,1,Infinite
202,8008508,"SAP Commerce Cloud, solution sales configuration, orders, access",50000,Order,28632.00,USD,Month,1,Infinite
203,8008509,"SAP Commerce Cloud, solution sales configuration, orders",50000,Order,2406.00,USD,Month,1,9
204,8008509,"SAP Commerce Cloud, solution sales configuration, orders",50000,Order,2062.00,USD,Month,10,19
205,8008509,"SAP Commerce Cloud, solution sales configuration, orders",50000,Order,1604.00,USD,Month,20,39
206,8008509,"SAP Commerce Cloud, solution sales configuration, orders",50000,Order,1243.00,USD,Month,40,99
207,8008509,"SAP Commerce Cloud, solution sales configuration, orders",50000,Order,622.00,USD,Month,100,Infinite
208,8010965,"SAP Sales and Service Core, intelligent sales add-on",1,User,24.00,USD,Month,1,Infinite
209,8010990,SAP Emarsys Customer Engagement,100000,Contact,996.00,USD,Month,1,9
210,8010990,SAP Emarsys Customer Engagement,100000,Contact,707.00,USD,Month,10,19
211,8010990,SAP Emarsys Customer Engagement,100000,Contact,486.00,USD,Month,20,49
212,8010990,SAP Emarsys Customer Engagement,100000,Contact,328.00,USD,Month,50,99
213,8010990,SAP Emarsys Customer Engagement,100000,Contact,263.00,USD,Month,100,199
214,8010990,SAP Emarsys Customer Engagement,100000,Contact,197.00,USD,Month,200,Infinite
215,8010993,"SAP Emarsys Customer Engagement, advanced integration capabilities",100000,Contact,700.00,USD,Month,1,9
216,8010993,"SAP Emarsys Customer Engagement, advanced integration capabilities",100000,Contact,508.00,USD,Month,10,19
217,8010993,"SAP Emarsys Customer Engagement, advanced integration capabilities",100000,Contact,438.00,USD,Month,20,49
218,8010993,"SAP Emarsys Customer Engagement, advanced integration capabilities",100000,Contact,298.00,USD,Month,50,99
219,8010993,"SAP Emarsys Customer Engagement, advanced integration capabilities",100000,Contact,228.00,USD,Month,100,199
220,8010993,"SAP Emarsys Customer Engagement, advanced integration capabilities",100000,Contact,157.00,USD,Month,200,Infinite
221,8010994,"SAP Emarsys Customer Engagement, e-commerce accelerator, loyalty module",100000,Contact,725.00,USD,Month,1,9
222,8010994,"SAP Emarsys Customer Engagement, e-commerce accelerator, loyalty module",100000,Contact,691.00,USD,Month,10,19
223,8010994,"SAP Emarsys Customer Engagement, e-commerce accelerator, loyalty module",100000,Contact,622.00,USD,Month,20,49
224,8010994,"SAP Emarsys Customer Engagement, e-commerce accelerator, loyalty module",100000,Contact,518.00,USD,Month,50,99
225,8010994,"SAP Emarsys Customer Engagement, e-commerce accelerator, loyalty module",100000,Contact,346.00,USD,Month,100,199
226,8010994,"SAP Emarsys Customer Engagement, e-commerce accelerator, loyalty module",100000,Contact,259.00,USD,Month,200,Infinite
227,8010995,"SAP Emarsys Customer Engagement, e-commerce accelerator",100000,Contact,1036.00,USD,Month,1,9
228,8010995,"SAP Emarsys Customer Engagement, e-commerce accelerator",100000,Contact,864.00,USD,Month,10,19
229,8010995,"SAP Emarsys Customer Engagement, e-commerce accelerator",100000,Contact,691.00,USD,Month,20,49
230,8010995,"SAP Emarsys Customer Engagement, e-commerce accelerator",100000,Contact,518.00,USD,Month,50,99
231,8010995,"SAP Emarsys Customer Engagement, e-commerce accelerator",100000,Contact,346.00,USD,Month,100,199
232,8010995,"SAP Emarsys Customer Engagement, e-commerce accelerator",100000,Contact,259.00,USD,Month,200,Infinite
233,8010996,"SAP Emarsys Customer Engagement, e-commerce accelerator, offline stores option",100000,Contact,915.00,USD,Month,1,9
234,8010996,"SAP Emarsys Customer Engagement, e-commerce accelerator, offline stores option",100000,Contact,518.00,USD,Month,10,19
235,8010996,"SAP Emarsys Customer Engagement, e-commerce accelerator, offline stores option",100000,Contact,346.00,USD,Month,20,49
236,8010996,"SAP Emarsys Customer Engagement, e-commerce accelerator, offline stores option",100000,Contact,259.00,USD,Month,50,99
237,8010996,"SAP Emarsys Customer Engagement, e-commerce accelerator, offline stores option",100000,Contact,191.00,USD,Month,100,199
238,8010996,"SAP Emarsys Customer Engagement, e-commerce accelerator, offline stores option",100000,Contact,156.00,USD,Month,200,Infinite
239,8011001,"SAP Emarsys Customer Engagement, additional e-mails",100000,Transaction,3.79,USD,Month,1,Infinite
240,8011002,"SAP Emarsys Customer Engagement, additional Web channel impressions",100000,Transaction,58.00,USD,Month,1,Infinite
241,8011003,"SAP Emarsys Customer Engagement, additional business units",1,Tenant,1524.00,USD,Month,1,Infinite
242,8011334,SAP Sales and Service Core,1,User,161.00,USD,Month,1,100
243,8011334,SAP Sales and Service Core,1,User,155.00,USD,Month,101,250
244,8011334,SAP Sales and Service Core,1,User,116.00,USD,Month,251,1000
245,8011334,SAP Sales and Service Core,1,User,99.00,USD,Month,1001,2500
246,8011334,SAP Sales and Service Core,1,User,77.00,USD,Month,2501,Infinite
247,8011339,"SAP Sales and Service Core, service agent console",1,User,29.00,USD,Month,1,Infinite
248,8011340,"SAP Sales and Service Core, dynamic visit planning add-on",1,User,35.00,USD,Month,1,Infinite
249,8011376,"SAP Commerce Cloud, code replication production environment",1,Tenant,18941.00,USD,Month,1,Infinite
250,8011520,"SAP Data Maintenance by Vistex pricing option for SAP ERP, private cloud edition",55435000,Revenue,1068.00,USD,Month,1,10
251,8011520,"SAP Data Maintenance by Vistex pricing option for SAP ERP, private cloud edition",55435000,Revenue,763.00,USD,Month,11,30
252,8011520,"SAP Data Maintenance by Vistex pricing option for SAP ERP, private cloud edition",55435000,Revenue,610.00,USD,Month,31,60
253,8011520,"SAP Data Maintenance by Vistex pricing option for SAP ERP, private cloud edition",55435000,Revenue,549.00,USD,Month,61,100
254,8011520,"SAP Data Maintenance by Vistex pricing option for SAP ERP, private cloud edition",55435000,Revenue,488.00,USD,Month,101,200
255,8011520,"SAP Data Maintenance by Vistex pricing option for SAP ERP, private cloud edition",55435000,Revenue,397.00,USD,Month,201,Infinite
256,8011521,"SAP Data Maintenance by Vistex resources option for SAP ERP, private cloud edition",55435000,Revenue,1068.00,USD,Month,1,10
257,8011521,"SAP Data Maintenance by Vistex resources option for SAP ERP, private cloud edition",55435000,Revenue,763.00,USD,Month,11,30
258,8011521,"SAP Data Maintenance by Vistex resources option for SAP ERP, private cloud edition",55435000,Revenue,610.00,USD,Month,31,60
259,8011521,"SAP Data Maintenance by Vistex resources option for SAP ERP, private cloud edition",55435000,Revenue,549.00,USD,Month,61,100
260,8011521,"SAP Data Maintenance by Vistex resources option for SAP ERP, private cloud edition",55435000,Revenue,488.00,USD,Month,101,200
261,8011521,"SAP Data Maintenance by Vistex resources option for SAP ERP, private cloud edition",55435000,Revenue,397.00,USD,Month,201,Infinite
262,8011522,"SAP Incentive Administration by Vistex for SAP ERP, private cloud edition",55435000,Revenue,1677.00,USD,Month,1,10
263,8011522,"SAP Incentive Administration by Vistex for SAP ERP, private cloud edition",55435000,Revenue,1373.00,USD,Month,11,30
264,8011522,"SAP Incentive Administration by Vistex for SAP ERP, private cloud edition",55435000,Revenue,1109.00,USD,Month,31,60
265,8011522,"SAP Incentive Administration by Vistex for SAP ERP, private cloud edition",55435000,Revenue,970.00,USD,Month,61,100
266,8011522,"SAP Incentive Administration by Vistex for SAP ERP, private cloud edition",55435000,Revenue,832.00,USD,Month,101,200
267,8011522,"SAP Incentive Administration by Vistex for SAP ERP, private cloud edition",55435000,Revenue,808.00,USD,Month,201,Infinite
268,8011523,"SAP Paybacks and Chargebacks by Vistex for SAP ERP, private cloud edition",55435000,Revenue,1677.00,USD,Month,1,10
269,8011523,"SAP Paybacks and Chargebacks by Vistex for SAP ERP, private cloud edition",55435000,Revenue,1373.00,USD,Month,11,30
